Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Time (Intervals),Date (Intervals),Age (Intervals)
2,1,2/1/2012,1050,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Bus or coach (17 or more passenger seats),800-1159,February,30 - 39
1,1,2/1/2012,800,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,13,Car,800-1159,February,10 - 19
2,1,2/1/2012,1730,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,21,Pedal cycle,1600-1959,February,20 - 29
1,1,2/1/2012,1520,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Motorcycle over 500cc,1200-1559,February,20 - 29
1,1,2/1/2012,1235,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,41,Car,1200-1559,February,40 - 49
2,1,2/1/2012,1450,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle,1200-1559,February,10 - 19
3,6,2/1/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,24,Car,1200-1559,February,20 - 29
3,6,2/1/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Car,1200-1559,February,50 - 59
3,6,2/1/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car,1200-1559,February,30 - 39
3,6,2/1/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,29,Car,1200-1559,February,20 - 29
3,6,2/1/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car,1200-1559,February,30 - 39
3,6,2/1/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car,1200-1559,February,50 - 59
2,1,2/2/2012,800,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,47,Car,800-1159,February,40 - 49
1,1,2/2/2012,1145,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats),800-1159,February,60 - 69
2,2,2/2/2012,1350,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,1200-1559,February,30 - 39
2,2,2/2/2012,1350,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car,1200-1559,February,10 - 19
2,3,2/2/2012,1515,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Other Vehicle,1200-1559,February,40 - 49
2,3,2/2/2012,1515,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car,1200-1559,February,40 - 49
2,3,2/2/2012,1515,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,12,Car,1200-1559,February,10 - 19
1,1,2/2/2012,1800,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,17,Car,1600-1959,February,10 - 19
1,1,2/2/2012,1615,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,50,Car,1600-1959,February,50 - 59
2,1,2/2/2012,2030,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,41,Motorcycle over 125cc and up to 500cc,2000-2359,February,40 - 49
2,3,2/2/2012,2135,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,Car,2000-2359,February,30 - 39
2,3,2/2/2012,2135,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,28,Car,2000-2359,February,20 - 29
2,3,2/2/2012,2135,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,20,Car,2000-2359,February,20 - 29
1,1,2/3/2012,910,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,19,Bus or coach (17 or more passenger seats),800-1159,February,10 - 19
2,2,2/3/2012,930,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,45,Car,800-1159,February,40 - 49
2,2,2/3/2012,930,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Car,800-1159,February,50 - 59
1,1,2/3/2012,920,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,800-1159,February,20 - 29
2,4,2/3/2012,1310,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Taxi/Private hire car,1200-1559,February,30 - 39
2,4,2/3/2012,1310,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,10,Taxi/Private hire car,1200-1559,February,10 - 19
2,4,2/3/2012,1310,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,49,Car,1200-1559,February,40 - 49
2,4,2/3/2012,1310,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Taxi/Private hire car,1200-1559,February,30 - 39
1,1,2/3/2012,1305,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car,1200-1559,February,10 - 19
3,3,2/3/2012,1630,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car,1600-1959,February,20 - 29
3,3,2/3/2012,1630,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under,1600-1959,February,20 - 29
3,3,2/3/2012,1630,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under,1600-1959,February,20 - 29
1,1,2/3/2012,1750,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,28,Car,1600-1959,February,20 - 29
2,1,2/3/2012,1655,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car,1600-1959,February,10 - 19
2,1,2/3/2012,2325,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,45,Pedal cycle,2000-2359,February,40 - 49
1,1,2/3/2012,1510,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Bus or coach (17 or more passenger seats),1200-1559,February,10 - 19
2,1,2/3/2012,1535,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Taxi/Private hire car,1200-1559,February,60 - 69
2,2,2/4/2012,1100,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,800-1159,February,30 - 39
2,2,2/4/2012,1100,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car,800-1159,February,30 - 39
1,1,2/4/2012,1730,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,51,Car,1600-1959,February,50 - 59
1,1,2/4/2012,115,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,22,Car,0-359,February,20 - 29
3,1,2/4/2012,2021,Snow,Darkness: no street lighting,Snowing without high winds,Driver,Slight,Male,35,Car,2000-2359,February,30 - 39
2,1,2/4/2012,1730,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,39,Car,1600-1959,February,30 - 39
2,1,2/4/2012,1610,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Female,49,Car,1600-1959,February,40 - 49
2,2,2/5/2012,58,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,43,Car,0-359,February,40 - 49
2,2,2/5/2012,58,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,24,Taxi/Private hire car,0-359,February,20 - 29
1,4,2/5/2012,515,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,54,Minibus (8 – 16 passenger seats),400-759,February,50 - 59
1,4,2/5/2012,515,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,55,Minibus (8 – 16 passenger seats),400-759,February,50 - 59
1,4,2/5/2012,515,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,65,Minibus (8 – 16 passenger seats),400-759,February,60 - 69
1,4,2/5/2012,515,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,51,Minibus (8 – 16 passenger seats),400-759,February,50 - 59
1,1,2/5/2012,600,Snow,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Car,400-759,February,30 - 39
1,1,2/5/2012,814,Snow,Daylight: street lights present,Other,Driver,Slight,Female,20,Car,800-1159,February,20 - 29
2,2,2/6/2012,900,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc,800-1159,February,20 - 29
2,2,2/6/2012,900,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,800-1159,February,20 - 29
2,1,2/6/2012,1020,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Motorcycle over 50cc and up to 125cc,800-1159,February,20 - 29
2,1,2/6/2012,920,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Car,800-1159,February,40 - 49
2,3,2/6/2012,1340,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,1200-1559,February,30 - 39
2,3,2/6/2012,1340,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,1200-1559,February,30 - 39
2,3,2/6/2012,1340,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Car,1200-1559,February,40 - 49
2,1,2/6/2012,1530,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,60,Car,1200-1559,February,60 - 69
1,1,2/6/2012,1505,Snow,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,34,Bus or coach (17 or more passenger seats),1200-1559,February,30 - 39
1,4,2/6/2012,2105,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,27,Car,2000-2359,February,20 - 29
1,4,2/6/2012,2105,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,22,Car,2000-2359,February,20 - 29
1,4,2/6/2012,2105,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,20,Car,2000-2359,February,20 - 29
1,4,2/6/2012,2105,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,24,Car,2000-2359,February,20 - 29
2,1,2/6/2012,1005,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats),800-1159,February,70 - 79
2,2,2/7/2012,1010,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,54,Car,800-1159,February,50 - 59
2,2,2/7/2012,1010,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,53,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,800-1159,February,50 - 59
2,2,2/7/2012,2000,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,21,Car,2000-2359,February,20 - 29
2,2,2/7/2012,2000,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,47,Car,2000-2359,February,40 - 49
2,2,2/7/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,29,Taxi/Private hire car,1600-1959,February,20 - 29
2,2,2/7/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,3,Taxi/Private hire car,1600-1959,February,0 - 9
1,1,2/8/2012,750,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Motorcycle over 125cc and up to 500cc,400-759,February,40 - 49
2,2,2/8/2012,1637,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,68,Car,1600-1959,February,60 - 69
2,2,2/8/2012,1637,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car,1600-1959,February,40 - 49
1,1,2/8/2012,1932,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,33,Car,1600-1959,February,30 - 39
1,1,2/8/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Car,1200-1559,February,20 - 29
2,1,2/8/2012,730,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,59,Motorcycle over 125cc and up to 500cc,400-759,February,50 - 59
2,1,2/9/2012,1010,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Pedal cycle,800-1159,February,30 - 39
2,2,2/9/2012,1035,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Bus or coach (17 or more passenger seats),800-1159,February,30 - 39
2,2,2/9/2012,1035,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,75,Bus or coach (17 or more passenger seats),800-1159,February,70 - 79
4,1,2/9/2012,1325,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,47,Car,1200-1559,February,40 - 49
1,1,2/9/2012,2058,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,25,Car,2000-2359,February,20 - 29
1,1,2/10/2012,220,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,42,Car,0-359,February,40 - 49
1,2,2/10/2012,325,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,20,Car,0-359,February,20 - 29
1,2,2/10/2012,325,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,19,Car,0-359,February,10 - 19
1,1,2/10/2012,1152,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,76,Bus or coach (17 or more passenger seats),800-1159,February,70 - 79
3,2,2/10/2012,1320,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Car,1200-1559,February,30 - 39
3,2,2/10/2012,1320,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car,1200-1559,February,30 - 39
2,1,2/10/2012,1955,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,54,Car,1600-1959,February,50 - 59
1,1,2/11/2012,10,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Fatal,Male,19,Car,0-359,February,10 - 19
1,2,2/11/2012,1035,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,71,Bus or coach (17 or more passenger seats),800-1159,February,70 - 79
1,2,2/11/2012,1035,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats),800-1159,February,70 - 79
2,1,2/11/2012,1350,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,46,Taxi/Private hire car,1200-1559,February,40 - 49
2,2,2/11/2012,1443,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,69,Car,1200-1559,February,60 - 69
2,2,2/11/2012,1443,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,66,Car,1200-1559,February,60 - 69
1,1,2/11/2012,345,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,22,Car,0-359,February,20 - 29
1,1,2/11/2012,1835,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,23,Car,1600-1959,February,20 - 29
1,1,2/11/2012,1902,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,85,Car,1600-1959,February,80- 89
3,1,2/11/2012,1200,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,62,Car,1200-1559,February,60 - 69
1,1,2/12/2012,1240,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Car,1200-1559,February,20 - 29
2,2,2/12/2012,1350,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car,1200-1559,February,40 - 49
2,2,2/12/2012,1350,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,22,Car,1200-1559,February,20 - 29
2,1,2/12/2012,1620,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Pedal cycle,1600-1959,February,40 - 49
4,2,2/13/2012,1240,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under,1200-1559,February,30 - 39
4,2,2/13/2012,1240,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Goods vehicle 3.5 tonnes mgw and under,1200-1559,February,40 - 49
1,1,2/13/2012,2230,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,57,Car,2000-2359,February,50 - 59
3,4,2/14/2012,825,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,800-1159,February,30 - 39
3,4,2/14/2012,825,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car,800-1159,February,20 - 29
3,4,2/14/2012,825,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33,Car,800-1159,February,30 - 39
3,4,2/14/2012,825,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car,800-1159,February,30 - 39
3,1,2/14/2012,605,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,31,Car,400-759,February,30 - 39
2,1,2/14/2012,1015,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,800-1159,February,30 - 39
